"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2776",47.5547013660799,40.9213468925542,54.1880558396056,37.4098611471277,57.6995415850321
"2777",49.0687328859902,40.1075634779898,58.0299022939906,35.3638069421174,62.7736588298629
"2778",49.4831792788007,39.962716476995,59.0036420806064,34.9228879028053,64.0434706547962
"2779",52.310450129312,42.5228280012116,62.0980722574125,37.341573822558,67.2793264360661
"2780",48.7401845924595,38.734070105453,58.7462990794659,33.4371530586616,64.0432161262574
"2781",48.6729510430159,38.4783711882667,58.8675308977651,33.0816866022948,64.264215483737
"2782",51.0822092261305,40.7044031230743,61.4600153291867,35.2107244202214,66.9536940320396
"2783",51.0553890913359,40.4907152007129,61.620062981959,34.8981146665394,67.2126635161325
"2784",51.9804698607371,41.2242020325018,62.7367376889724,35.5301777943003,68.4307619271739
"2785",52.5515336816908,41.6286959913569,63.4743713720247,35.8464949945167,69.2565723688649
"2786",52.6765277628683,41.6022234382269,63.7508320875097,35.7398408485891,69.6132146771475
"2787",51.1631927504005,39.9286828644971,62.3977026363038,33.9814925735741,68.3448929272268
"2788",48.9827000039507,37.5766805274684,60.388719480433,31.5386985436054,66.4267014642959
"2789",48.9816996944359,37.4002671074336,60.5631322814382,31.2694270319958,66.6939723568761
"2790",49.1126228747888,37.3558560982362,60.8693896513414,31.1321997094611,67.0930460401165
"2791",48.7026367852297,36.7723619068083,60.6329116636512,30.4568558771222,66.9484176933373
"2792",50.8849752917967,38.7840116360408,62.9859389475527,32.3781484256994,69.391802157894
"2793",53.7473646161802,41.4788111418466,66.0159180905138,34.9842312405214,72.510497991839
"2794",52.3872955076992,39.9535070298983,64.8210839855001,33.3714570014095,71.4031340139889
"2795",48.848850135202,36.2517056742021,61.4459945962019,29.5831802117947,68.1145200586092
"2796",47.4883475069784,34.7300826661334,60.2466123478234,27.9762652267359,67.000429787221
"2797",46.8081083580606,33.8912401339835,59.7249765821377,27.0534631351175,66.5627535810037
"2798",47.6247136412233,34.5515867546214,60.6978405278252,27.6310914164528,67.6183358659938
"2799",45.0388028168233,31.8114759838339,58.2661296498127,24.8093521248548,65.2682535087918
"2800",50.0746261894485,36.6949508683477,63.4543015105492,29.6121785913661,70.5370737875308
"2801",47.8968627648471,34.3665497913114,61.4271757383828,27.2040347580274,68.5896907716669
"2802",47.624444683605,33.9451098740804,61.3037794931296,26.703707446052,68.545181921158
"2803",47.6243094129071,33.797520662148,61.4510981636662,26.4780608327221,68.7705579930921
"2804",47.3520563569924,33.3793537402297,61.3247589737552,25.9826517759869,68.7214609379979
"2805",49.5296719892572,35.4125534483361,63.6467905301784,27.9394023117901,71.1199416667243
"2806",50.6184808860359,36.3583916510111,64.8785701210608,28.8095564007392,72.4274053713327
"2807",48.9852572707606,34.5835979372285,63.3869166042927,26.959820003753,71.0106945377682
"2808",47.2159351893972,32.6740715260616,61.7577988527329,24.9760739036613,69.4557964751332
"2809",48.1686561157283,33.487921776299,62.8493904551575,25.7164104586023,70.6209017728543
"2810",48.7130716672284,33.8947676440339,63.5313756904228,26.0504313347779,71.3757119996789
"2811",48.0325698729912,33.0779638920839,62.9871758538986,25.1614736849029,70.9036660610795
"2812",48.0325782537157,32.9429043233487,63.1222521840827,24.9549134627526,71.1102430446788
"2813",45.9910489501464,30.7675075001729,61.2145904001198,22.7086514553401,69.2734464449526
"2814",47.6242775903447,32.2680367983571,62.9805183823323,24.1389339651505,71.1096212155389
"2815",48.9853003421187,33.4974980160543,64.4731026681831,25.2987507136126,72.6718499706248
"2816",46.6715615107082,31.0533065976948,62.2898164237217,22.7855018671669,70.5576211542496
"2817",47.2159697377762,31.4683434186117,62.9635960569407,23.1320536025395,71.2998858730129
"2818",48.7130938360483,32.8371505740198,64.5890370980768,24.4329338715491,72.9932538005475
"2819",47.3520707420611,31.3488393956189,63.3553020885033,22.8772404515139,71.8269010326082
"2820",46.9437634802523,30.8142484036141,63.0732785568906,22.2757988908817,71.611728069623
"2821",44.7661269761008,28.5113090616607,61.0209448905409,19.9065282333687,69.625725718833
"2822",44.9022289532304,28.5230666008731,61.2813913055876,19.8524618032738,69.9519961031869
"2823",46.943762659447,30.4411926553797,63.4463326635143,21.7052597931359,72.1822655257581
"2824",47.0798649100036,30.4548032216369,63.7049265983704,21.6540271786061,72.5057026414012
"2825",45.9910469217257,29.2443894413057,62.7377044021457,20.3792444741954,71.6028493692559
"2826",43.4051041513608,26.5377274106801,60.2724808920416,17.6086775273927,69.201530775329
"2827",44.0856154837884,27.0983773400247,61.072853627552,18.1058766627186,70.0653543048581
"2828",49.2575011996149,32.1512414874837,66.3637609117461,23.0957345978021,75.4192678014277
"2829",48.5769899589495,31.352531109817,65.8014488080819,22.2344533766266,74.9195265412724
"2830",45.1744336190886,27.8325812502094,62.5162859879677,18.6523591415237,71.6965080966534
"2831",44.6300246150796,27.1715680916595,62.0884811384998,17.9296194721771,71.3304297579821
"2832",44.9022291297135,27.3279421021621,62.4765161572649,18.0246765176712,71.7797817417559
"2833",46.671558437615,28.9821993557871,64.3609175194428,19.6180183053881,73.7250985698418
"2834",46.8076606882936,29.0039732934772,64.6113480831101,19.5792704900254,74.0360508865619
"2835",45.7188426475059,27.80155644253,63.6361288524819,18.3167180614961,73.1209672335158
