"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Lubbock, TX","31180",2020,57,57,0,0,0,0,0,34,25,17,0,0,0,0,57,0
"Lynchburg, VA","31340",2020,20,19,1,0,0,0,0,54,48,17,0,0,0,0,20,0
"Macon, GA","31420",2020,91,79,12,0,0,0,0,65,52,27,0,0,0,0,91,0
"Madera, CA","31460",2020,5,3,2,0,0,0,0,75,75,50,0,0,0,0,5,0
"Marietta, OH","31930",2020,31,31,0,0,0,0,0,46,41,37,0,0,31,0,0,0
"Marshall, TX","32220",2020,60,58,2,0,0,0,0,95,39,31,0,0,42,1,17,0
"Mason City, IA","32380",2020,31,31,0,0,0,0,0,45,19,11,0,0,0,0,0,31
"McAlester, OK","32540",2020,90,79,11,0,0,0,0,88,52,35,0,0,55,0,35,0
"McAllen-Edinburg-Mission, TX","32580",2020,31,31,0,0,0,0,0,45,42,34,0,0,17,0,14,0
"Memphis, TN-MS-AR","32820",2020,91,80,11,0,0,0,0,79,52,35,0,3,36,0,52,0
"Merced, CA","32900",2020,20,8,12,0,0,0,0,87,85,61,0,0,0,0,20,0
"Meridian, MS","32940",2020,31,31,0,0,0,0,0,50,39,33,0,0,31,0,0,0
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2020,91,88,3,0,0,0,0,69,44,38,0,0,75,0,15,1
"Michigan City-La Porte, IN","33140",2020,91,86,5,0,0,0,0,59,43,34,0,0,74,0,17,0
"Middlesborough, KY","33180",2020,5,4,1,0,0,0,0,54,54,31,0,0,0,0,5,0
"Minot, ND","33500",2020,91,90,1,0,0,0,0,58,36,32,0,0,84,0,7,0
"Missoula, MT","33540",2020,60,26,33,1,0,0,0,105,83,57,0,0,14,0,46,0
"Mobile, AL","33660",2020,30,27,3,0,0,0,0,58,51,27,0,0,0,1,29,0
"Modesto, CA","33700",2020,10,6,4,0,0,0,0,74,74,45,0,0,0,0,10,0
"Monroe, LA","33740",2020,91,91,0,0,0,0,0,50,39,31,0,0,91,0,0,0
"Monroe, MI","33780",2020,15,15,0,0,0,0,0,26,22,13,0,0,0,0,0,15
"Montgomery, AL","33860",2020,29,21,8,0,0,0,0,64,57,41,0,0,0,0,29,0
"Morehead City, NC","33980",2020,58,58,0,0,0,0,0,48,40,35,0,0,58,0,0,0
"Morgantown, WV","34060",2020,89,89,0,0,0,0,0,47,39,3,0,0,30,59,0,0
"Moses Lake, WA","34180",2020,31,30,1,0,0,0,0,53,30,16,0,0,0,0,31,0
"Mount Pleasant, TX","34420",2020,53,53,0,0,0,0,0,16,7,0,0,0,0,53,0,0
"Mount Vernon, IL","34500",2020,60,50,10,0,0,0,0,61,54,36,0,0,0,0,60,0
"Mount Vernon, OH","34540",2020,31,31,0,0,0,0,0,44,41,35,0,0,31,0,0,0
"Mount Vernon-Anacortes, WA","34580",2020,31,31,0,0,0,0,0,18,17,11,0,0,0,0,31,0
"Muncie, IN","34620",2020,91,87,4,0,0,0,0,65,43,31,0,0,77,0,14,0
"Muscatine, IA","34700",2020,121,101,20,0,0,0,0,74,53,33,0,0,0,1,120,0
"Muskogee, OK","34780",2020,89,89,0,0,0,0,0,6,3,0,0,0,0,89,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2020,91,85,6,0,0,0,0,100,46,27,0,0,37,54,0,0
"New Castle, IN","35220",2020,30,26,4,0,0,0,0,63,52,28,0,0,0,0,30,0
"New Orleans-Metairie, LA","35380",2020,92,77,15,0,0,0,0,84,61,40,1,0,47,14,30,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2020,92,65,27,0,0,0,0,77,58,42,1,8,36,0,47,0
"Nogales, AZ","35700",2020,91,61,28,1,1,0,0,165,64,32,0,0,0,0,56,35
"North Port-Sarasota-Bradenton, FL","35840",2020,91,83,8,0,0,0,0,76,49,40,0,0,63,0,28,0
"Ocala, FL","36100",2020,91,78,13,0,0,0,0,60,54,41,0,0,56,0,35,0
"Odessa, TX","36220",2020,59,59,0,0,0,0,0,42,31,20,0,0,0,0,59,0
"Ogden-Clearfield, UT","36260",2020,122,109,13,0,0,0,0,80,51,42,1,10,93,0,18,0
"Ogdensburg-Massena, NY","36300",2020,91,58,27,6,0,0,0,110,95,30,0,0,0,91,0,0
"Oklahoma City, OK","36420",2020,92,79,13,0,0,0,0,81,54,37,1,3,46,0,41,1
"Olympia-Tumwater, WA","36500",2020,31,31,0,0,0,0,0,39,23,12,0,0,0,0,31,0
"Omaha-Council Bluffs, NE-IA","36540",2020,121,106,15,0,0,0,0,64,52,37,0,0,58,8,54,1
"Othello, WA","36830",2020,31,31,0,0,0,0,0,27,16,8,0,0,0,0,31,0
"Ottawa-Peru, IL","36860",2020,60,60,0,0,0,0,0,6,1,0,0,0,0,60,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2020,91,85,6,0,0,0,0,60,48,40,0,0,81,0,10,0
"Paducah, KY-IL","37140",2020,5,5,0,0,0,0,0,18,18,15,0,0,0,0,0,5
"Palatka, FL","37260",2020,91,91,0,0,0,0,0,40,28,18,0,0,0,1,0,90
"Panama City, FL","37460",2020,88,80,7,1,0,0,0,131,50,36,0,0,63,0,25,0
"Parkersburg-Vienna, WV","37620",2020,91,91,0,0,0,0,0,43,35,7,0,0,31,60,0,0
"Payson, AZ","37740",2020,91,79,11,1,0,0,0,110,55,39,0,0,65,20,0,6
"Peoria, IL","37900",2020,60,50,10,0,0,0,0,67,55,35,0,0,0,0,60,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2020,88,78,10,0,0,0,0,76,52,37,0,6,52,0,30,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2020,92,53,37,1,1,0,0,199,72,47,1,3,49,0,33,6
"Pittsburgh, PA","38300",2020,92,56,35,1,0,0,0,102,79,46,1,0,23,5,63,0
"Pittsfield, MA","38340",2020,60,46,14,0,0,0,0,80,58,36,0,0,29,0,31,0
"Point Pleasant, WV-OH","38580",2020,91,90,1,0,0,0,0,64,34,6,0,0,0,91,0,0
"Ponca City, OK","38620",2020,89,83,5,1,0,0,0,103,45,27,0,0,0,2,87,0
"Port Angeles, WA","38820",2020,31,28,3,0,0,0,0,59,50,33,0,0,4,0,27,0
"Portland-South Portland, ME","38860",2020,122,107,15,0,0,0,0,70,52,41,1,1,82,0,38,0
"Portland-Vancouver-Hillsboro, OR-WA","38900",2020,96,95,1,0,0,0,0,61,31,21,0,0,47,43,6,0
"Portsmouth, OH","39020",2020,60,60,0,0,0,0,0,45,31,10,0,0,0,4,20,36
"Prescott, AZ","39140",2020,91,91,0,0,0,0,0,50,46,40,0,0,91,0,0,0
"Price, UT","39220",2020,117,116,1,0,0,0,0,51,47,42,0,2,115,0,0,0
"Providence-Warwick, RI-MA","39300",2020,64,46,18,0,0,0,0,76,57,44,0,2,15,0,43,4
"Provo-Orem, UT","39340",2020,122,115,7,0,0,0,0,64,47,42,1,2,102,0,17,0
"Pueblo, CO","39380",2020,33,33,0,0,0,0,0,33,24,15,0,0,0,0,26,7
"Pullman, WA","39420",2020,31,31,0,0,0,0,0,24,16,9,0,0,0,0,31,0
"Raleigh, NC","39580",2020,92,85,7,0,0,0,0,72,45,27,2,35,14,0,41,0
"Redding, CA","39820",2020,59,56,3,0,0,0,0,84,44,39,0,0,56,0,3,0
"Reno, NV","39900",2020,61,54,7,0,0,0,0,61,51,41,1,0,44,0,15,1
