"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/02/2012","AQS","340130003","1","0.005","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"06/08/2012","AQS","340130003","1","0.004","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"06/14/2012","AQS","340130003","1","0.001","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"06/20/2012","AQS","340130003","1","0.005","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"06/26/2012","AQS","340130003","1","0.001","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"07/02/2012","AQS","340130003","1","0.001","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"07/08/2012","AQS","340130003","1","0.002","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"07/14/2012","AQS","340130003","1","0.001","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"07/20/2012","AQS","340130003","1","0","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"07/26/2012","AQS","340130003","1","0.003","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"08/01/2012","AQS","340130003","1","0.004","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"08/07/2012","AQS","340130003","1","0.003","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"08/13/2012","AQS","340130003","1","0.002","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"08/19/2012","AQS","340130003","1","0","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"08/25/2012","AQS","340130003","1","0.007","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"08/31/2012","AQS","340130003","1","0.004","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"09/09/2012","AQS","340130003","1","0.001","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"09/12/2012","AQS","340130003","1","0.006","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"09/18/2012","AQS","340130003","1","0.004","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"09/24/2012","AQS","340130003","1","0.002","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"09/30/2012","AQS","340130003","1","0.001","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"10/06/2012","AQS","340130003","1","0.004","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"10/12/2012","AQS","340130003","1","0.004","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"10/18/2012","AQS","340130003","1","0.006","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"10/24/2012","AQS","340130003","1","0.005","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"10/30/2012","AQS","340130003","1","0","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"11/05/2012","AQS","340130003","1","0.007","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"11/11/2012","AQS","340130003","1","0.007","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"11/17/2012","AQS","340130003","1","0.005","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"11/23/2012","AQS","340130003","1","0.007","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"11/29/2012","AQS","340130003","1","0.006","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
